Subject: RSC-100M_I_JurisStat_Fred

!SCCoPIFO!
#T: form-oa-muni-status.html
#V: 3.9-2.2
MsgNo: [RSC-100M]
1a.: [12/31/2022]
1b.: [1452]
5.: [IMMEDIATE]
7a.: [Situation Analysis Unit]
8a.: [FromPos]
7b.: [County EOC]
8b.: [FromLoc]
7c.: [ToName]
8c.: [FromName]
7d.: [ToContact]
8d.: [FromContact]
19.: [Complete]
21.: [Unincorporated]
22.: [Fred]
23.: [1234567890]
24.: [2345678901]
25.: [pecn]
26.: [3456789012]
27.: [secn]
28.: [4567890123]
29.: [Open]
30.: [01/01/2023]
31.: [12:00]
32.: [01/02/2023]
33.: [13:00]
34.: [Yes]
35.: [Normal]
36.: [01/03/2023]
37.: [14:00]
38.: [01/04/2023]
39.: [15:00]
40.: [Yes]
99.: [carrier pigeon]
41.0.: [Unknown]
41.1.: [a]
42.0.: [Normal]
42.1.: [b]
43.0.: [Problem]
43.1.: [c]
44.0.: [Failure]
44.1.: [d]
45.0.: [Delayed]
45.1.: [e]
46.0.: [Closed]
46.1.: [f]
47.0.: [Early Out]
47.1.: [g]
48.0.: [Unknown]
48.1.: [h]
49.0.: [Normal]
49.1.: [i]
50.0.: [Problem]
50.1.: [j]
51.0.: [Failure]
51.1.: [k]
52.0.: [Delayed]
52.1.: [l]
53.0.: [Closed]
53.1.: [m]
54.0.: [Early Out]
54.1.: [n]
55.0.: [Unknown]
55.1.: [o]
56.0.: [Normal]
56.1.: [p]
OpRelayRcvd: [RelayRcvd]
OpRelaySent: [RelaySent]
OpName: [Steve Roth]
OpCall: [KC6RSC]
OpDate: [12/31/2022]
OpTime: [14:56]
!/ADDON!
