Subject: RSC-100M_R_AHFacStat_Fac

!SCCoPIFO!
#T: form-allied-health-facility-status.html
#V: 3.9-2.3
MsgNo: [RSC-100M]
1a.: [12/31/2022]
1b.: [1500]
5.: [ROUTINE]
7a.: [EMS Unit]
8a.: [FromPos]
7b.: [MHJOC]
8b.: [FromLoc]
7c.: [ToName]
8c.: [FromName]
7d.: [ToContact]
8d.: [FromContact]
19.: [Complete]
20.: [Fac]
21.: [ftype]
22d.: [12/31/2022]
22t.: [1500]
23.: [cname]
23p.: [1234567890]
23f.: [2345678901]
24.: [op]
25.: [inc]
25d.: [12/31/2022]
35.: [Fully Functional]
26a.: [Yes]
26b.: [No]
26c.: [Yes]
26d.: [No]
27p.: [3456789012]
26e.: [Yes]
27f.: [4567890]
28.: [lia]
34.: [summ]
28p.: [567890]
29.: [ion]
29p.: [67890]
29e.: [ioe]
30.: [nobody]
30p.: [7890]
40a.: [4]
40b.: [5]
40c.: [6]
40d.: [7]
40e.: [8]
30e.: [fce]
41a.: [9]
41b.: [0]
41c.: [1]
41d.: [2]
41e.: [3]
42a.: [4]
42b.: [5]
42c.: [6]
42d.: [7]
42e.: [8]
31a.: [1]
43a.: [9]
43b.: [0]
43c.: [1]
43d.: [2]
43e.: [3]
31b.: [2]
44a.: [4]
44b.: [5]
44c.: [6]
44d.: [7]
44e.: [8]
31c.: [3]
45a.: [9]
45b.: [0]
45c.: [1]
45d.: [2]
45e.: [3]
33.: [of]
46.: [other]
46a.: [4]
46b.: [5]
46c.: [6]
46d.: [7]
46e.: [8]
50a.: [9]
50b.: [0]
50c.: [1]
50d.: [2]
50e.: [3]
51a.: [4]
51b.: [5]
51c.: [6]
51d.: [7]
51e.: [8]
52a.: [9]
52b.: [0]
52c.: [1]
52d.: [2]
52e.: [3]
53a.: [4]
53b.: [5]
53c.: [6]
53d.: [7]
53e.: [8]
54a.: [9]
54b.: [0]
54c.: [1]
54d.: [2]
54e.: [3]
OpRelayRcvd: [RelayRcvd]
OpRelaySent: [RelaySent]
OpName: [Steve Roth]
OpCall: [KC6RSC]
OpDate: [12/31/2022]
OpTime: [15:03]
!/ADDON!
