Subject: RSC-100M_P_SheltStat_Shelter

!SCCoPIFO!
#T: form-oa-shelter-status.html
#V: 3.9-2.2
MsgNo: [RSC-100M]
1a.: [12/31/2022]
1b.: [1457]
5.: [PRIORITY]
7a.: [Mass Care and Shelter Unit]
8a.: [FromPos]
7b.: [ToLoc]
8b.: [FromLoc]
7c.: [ToName]
8c.: [FromName]
7d.: [ToContact]
8d.: [FromContact]
19.: [Complete]
32.: [Shelter]
30.: [Type 1]
31.: [Open]
33a.: [addr]
33b.: [Unincorporated]
34b.: [Moraga]
33c.: [CA]
33d.: [94556]
37a.: [1.2]
37b.: [3.4]
40a.: [1]
40b.: [2]
41.: [ms]
42.: [nss]
43a.: [checked]
43b.: [checked]
43c.: [checked]
44.: [svcs]
45.: [mou]
46.: [fp]
50a.: [Private]
49a.: [Private]
50b.: [me]
51a.: [pc]
51b.: [1234567890]
52a.: [sc]
52b.: [2345678901]
60.: [tcs]
61.: [rcs]
62a.: [2]
62b.: [3]
63a.: [4]
63b.: [5]
62c.: [+]
70.: [comment]
71.: [checked]
OpRelayRcvd: [RelayRcvd]
OpRelaySent: [RelaySent]
OpName: [Steve Roth]
OpCall: [KC6RSC]
OpDate: [12/31/2022]
OpTime: [14:59]
!/ADDON!
